Test name,Execution time,Result
STC_0813.smt2,180.041346100,cvc5 interrupted by SIGTERM.
STC_0568.smt2,180.036574900,cvc5 interrupted by SIGTERM.
STC_0085.smt2,180.038365400,cvc5 interrupted by SIGTERM.
STC_0318.smt2,180.040544100,cvc5 interrupted by SIGTERM.
STC_0814.smt2,180.035167300,cvc5 interrupted by SIGTERM.
STC_0569.smt2,180.033720600,cvc5 interrupted by SIGTERM.
STC_0086.smt2,180.039493100,cvc5 interrupted by SIGTERM.
STC_0319.smt2,180.033732200,cvc5 interrupted by SIGTERM.
STC_0815.smt2,180.035502600,cvc5 interrupted by SIGTERM.
STC_0570.smt2,180.034660600,cvc5 interrupted by SIGTERM.
STC_0087.smt2,180.033575500,cvc5 interrupted by SIGTERM.
STC_0088.smt2,.239656000,sat
STC_0320.smt2,180.036032500,cvc5 interrupted by SIGTERM.
STC_0816.smt2,180.037447900,cvc5 interrupted by SIGTERM.
STC_0817.smt2,5.032233900,sat
STC_0571.smt2,180.039555800,cvc5 interrupted by SIGTERM.
STC_0089.smt2,180.039235000,cvc5 interrupted by SIGTERM.
STC_0090.smt2,1.098131000,sat
STC_0091.smt2,.481403200,sat
STC_0321.smt2,180.035167500,cvc5 interrupted by SIGTERM.
STC_0818.smt2,180.036307500,cvc5 interrupted by SIGTERM.
STC_0572.smt2,180.036894500,cvc5 interrupted by SIGTERM.
STC_0819.smt2,87.213249400,sat
STC_0092.smt2,180.035886300,cvc5 interrupted by SIGTERM.
STC_0322.smt2,180.037188100,cvc5 interrupted by SIGTERM.
STC_0573.smt2,180.038855000,cvc5 interrupted by SIGTERM.
STC_0574.smt2,2.482031400,sat
STC_0323.smt2,99.556468400,sat
STC_0820.smt2,180.035176100,cvc5 interrupted by SIGTERM.
STC_0324.smt2,12.172130200,sat
STC_0093.smt2,180.033726900,cvc5 interrupted by SIGTERM.
STC_0575.smt2,180.038486100,cvc5 interrupted by SIGTERM.
STC_0821.smt2,180.032572800,cvc5 interrupted by SIGTERM.
STC_0325.smt2,180.034352200,cvc5 interrupted by SIGTERM.
STC_0094.smt2,180.035639400,cvc5 interrupted by SIGTERM.
STC_0576.smt2,114.620127500,sat
STC_0822.smt2,180.036267900,cvc5 interrupted by SIGTERM.
STC_0326.smt2,180.040495800,cvc5 interrupted by SIGTERM.
STC_0095.smt2,180.052845300,cvc5 interrupted by SIGTERM.
STC_0577.smt2,180.038142500,cvc5 interrupted by SIGTERM.
STC_0823.smt2,180.034444500,cvc5 interrupted by SIGTERM.
STC_0327.smt2,180.036066600,cvc5 interrupted by SIGTERM.
STC_0096.smt2,180.042751400,cvc5 interrupted by SIGTERM.
STC_0578.smt2,180.036253200,cvc5 interrupted by SIGTERM.
STC_0824.smt2,180.034916300,cvc5 interrupted by SIGTERM.
STC_0328.smt2,180.033635100,cvc5 interrupted by SIGTERM.
STC_0097.smt2,180.043840300,cvc5 interrupted by SIGTERM.
STC_0579.smt2,180.036061100,cvc5 interrupted by SIGTERM.
STC_0825.smt2,180.036689400,cvc5 interrupted by SIGTERM.
STC_0329.smt2,180.034180400,cvc5 interrupted by SIGTERM.
STC_0098.smt2,180.157577000,cvc5 interrupted by SIGTERM.
STC_0580.smt2,180.041862800,cvc5 interrupted by SIGTERM.
STC_0099.smt2,9.204861500,sat
STC_0826.smt2,180.033434000,cvc5 interrupted by SIGTERM.
STC_0330.smt2,180.036456600,cvc5 interrupted by SIGTERM.
STC_0581.smt2,180.050686800,cvc5 interrupted by SIGTERM.
STC_0100.smt2,180.043895800,cvc5 interrupted by SIGTERM.
STC_0827.smt2,180.038025500,cvc5 interrupted by SIGTERM.
STC_0331.smt2,180.037770400,cvc5 interrupted by SIGTERM.
